AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|L|NAPO|CARLOS JULIO AROSEMENA TOLA|7835,6400|0,0000|0,0000|0,0000|0,0000|206,8500|0,0000|0,0000|0,0000|206,8500|7835,6400
2025|1|H|TUNGURAHUA|AMBATO|838588,6400|6580738,2400|0,0000|10163,3900|0,0000|2248595,1700|4099541,2700|100452,7300|67610,0500|6544343,1500|7429490,2700
2025|1|F|GUAYAS|BALAO|109960,6700|3305,0100|0,0000|0,0000|0,0000|21137,1600|1860,7900|0,0000|0,0000|31193,6900|113265,6800
2025|1|C|SUCUMBIOS|SHUSHUFINDI|172398,6500|25685,8000|0,0000|26000,0000|0,0000|99907,1600|20252,4600|18,6500|328,8000|123194,0700|224084,4500
2025|1|M|LOS RIOS|BUENA FE|163043,0600|170325,1100|0,0000|14781,0000|0,0000|198098,1200|49832,5600|448,7000|9620,2000|281426,8900|348149,1700
2025|1|O|MANABI|MONTECRISTI|262,4300|6840,0000|0,0000|0,0000|0,0000|95526,2900|33277,7400|0,0000|72,0000|128876,0300|7102,4300
2025|1|J|LOJA|CATAMAYO|82220,0000|71,1800|0,0000|0,0000|0,0000|45346,1800|3533,5500|0,0000|361,3000|49346,7400|82291,1800
2025|1|P|NAPO|QUIJOS|0,0000|21,0000|0,0000|0,0000|0,0000|3579,8000|965,6100|0,0000|0,0000|4545,4100|21,0000
2025|1|S|GUAYAS|SANTA LUCIA|4884,6300|19734,9700|0,0000|0,0000|0,0000|6093,3200|10710,5000|0,0000|514,6500|17318,4700|24619,6000
2025|1|R|LOS RIOS|MOCACHE|7,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|7,0000
2025|1|L|COTOPAXI|LATACUNGA|631819,0500|123840,1800|0,0000|11094,8600|2450,0000|355487,5000|49123,0700|0,0000|3517,2200|413798,3100|769204,0900
2025|1|C|LOJA|ZAPOTILLO|335,7000|23738,8500|0,0000|0,0000|0,0000|773,1300|2996,0100|0,0000|755,0000|4524,1400|24074,5500
2025|1|O|GUAYAS|SIMON BOLIVAR|1783,6900|0,0000|0,0000|0,0000|0,0000|70475,9500|1291,8600|0,0000|0,0000|71767,8100|1783,6900
2025|1|A|LOS RIOS|QUEVEDO|1080704,8600|17978145,6900|0,0000|0,0000|3302492,6100|2722091,1000|11681883,7700|603,5000|472700,0800|14908507,5200|22361343,1600
2025|1|F|AZUAY|PAUTE|64052,2500|212,8200|0,0000|309,2600|0,0000|100208,1400|5401,9300|4341,1300|200,0000|139715,2200|64574,3300
2025|1|A|LOS RIOS|BABA|56461,6000|7794438,7700|0,0000|0,0000|0,0000|946224,1900|3502747,3700|0,0000|95577,6700|4554169,5200|7850900,3700
2025|1|A|IMBABURA|PIMAMPIRO|14103,9000|255942,7000|0,0000|0,0000|7584,0000|25903,8800|59450,5500|0,0000|19418,8300|104773,2600|277630,6000
